name,nsclc_mskcc_2018p14,nsclc_mskcc_2018p72,nsclc_mskcc_2018p38,nsclc_mskcc_2018p42,nsclc_mskcc_2018p15,nsclc_mskcc_2018p67,nsclc_mskcc_2018p46,nsclc_mskcc_2018p27,nsclc_mskcc_2018p28,nsclc_mskcc_2018p36,nsclc_mskcc_2018p29,nsclc_mskcc_2018p41,nsclc_mskcc_2018p63,nsclc_mskcc_2018p18,nsclc_mskcc_2018p25,nsclc_mskcc_2018p16,nsclc_mskcc_2018p53,nsclc_mskcc_2018p54,nsclc_mskcc_2018p71,nsclc_mskcc_2018p69,nsclc_mskcc_2018p4,nsclc_mskcc_2018p47,nsclc_mskcc_2018p65,nsclc_mskcc_2018p49,nsclc_mskcc_2018p64,nsclc_mskcc_2018p21,nsclc_mskcc_2018p60,nsclc_mskcc_2018p23,nsclc_mskcc_2018p35,nsclc_mskcc_2018p10,nsclc_mskcc_2018p31,nsclc_mskcc_2018p17,nsclc_mskcc_2018p59,nsclc_mskcc_2018p8,nsclc_mskcc_2018p13,nsclc_mskcc_2018p62,nsclc_mskcc_2018p75,nsclc_mskcc_2018p19,nsclc_mskcc_2018p34,nsclc_mskcc_2018p12,nsclc_mskcc_2018p68,nsclc_mskcc_2018p50,nsclc_mskcc_2018p6,nsclc_mskcc_2018p37,nsclc_mskcc_2018p33,nsclc_mskcc_2018p5,nsclc_mskcc_2018p26,nsclc_mskcc_2018p51,nsclc_mskcc_2018p48,nsclc_mskcc_2018p3,nsclc_mskcc_2018p9,nsclc_mskcc_2018p22,nsclc_mskcc_2018p43,nsclc_mskcc_2018p73,nsclc_mskcc_2018p55,nsclc_mskcc_2018p52,nsclc_mskcc_2018p56,nsclc_mskcc_2018p11,nsclc_mskcc_2018p20,nsclc_mskcc_2018p32,nsclc_mskcc_2018p24,nsclc_mskcc_2018p57,nsclc_mskcc_2018p30,nsclc_mskcc_2018p40,nsclc_mskcc_2018p1,nsclc_mskcc_2018p74,nsclc_mskcc_2018p7,nsclc_mskcc_2018p2
NEST,1,4,3,1,11,6,14,4,12,4,10,24,1,26,8,2,13,11,1,3,4,16,4,4,0,15,57,12,6,17,8,1,1,4,3,41,17,30,1,12,20,9,4,10,9,11,33,34,6,0,3,8,5,22,11,8,6,1,7,13,2,4,13,15,3,29,9,9
NEST:2,0,0,0,0,2,3,5,2,2,0,2,7,0,5,3,0,2,5,0,1,1,6,1,2,0,5,14,3,2,3,1,0,0,0,0,7,6,10,0,1,9,3,2,2,4,3,13,10,1,0,1,1,1,8,3,1,0,1,2,3,0,0,4,3,1,8,3,3
NEST:3,1,3,1,1,7,3,7,1,8,3,5,10,1,18,5,2,7,3,1,2,1,8,3,1,0,11,40,7,2,8,6,1,1,2,3,25,11,16,0,9,6,6,1,8,4,5,16,21,5,0,2,5,3,11,8,4,3,0,3,8,1,3,9,8,2,15,5,3
NEST:12,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
NEST:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST:32,0,1,1,0,1,1,1,0,0,1,3,2,0,2,1,0,2,1,0,0,1,1,0,0,0,1,2,0,1,2,1,0,1,1,0,2,1,3,0,2,1,1,0,1,1,0,2,1,0,0,1,1,0,3,3,0,2,0,2,3,0,1,1,0,1,1,2,1
NEST:38,0,1,0,1,1,2,2,1,1,0,2,3,0,5,1,1,1,2,0,1,1,2,1,1,0,5,6,1,2,2,2,1,1,2,0,6,3,4,0,1,2,2,1,2,3,1,9,5,0,0,3,0,1,5,2,1,1,1,2,3,1,1,2,1,2,4,2,2
NEST:47,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,2,1,0,1,1,1,0,1,1,0,3,1,1,0,1,0,1,0,1,1,0,2,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2,1,1,1,1,1
NEST:52,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0
